"","x","y","z","omega","katsse","akev","possture"
"337","176","-1496","519","18.854283","0","0","walk"
"338","275","-1464","550","7.329597","0","0","walk"
"339","31","-1465","441","18.49679","0","0","walk"
"340","360","-1433","575","21.82715","0","0","walk"
"341","-5","-1520","463","17.435227","0","0","walk"
"342","44","-1608","579","17.339667","0","0","none"
"343","216","-1404","641","2.426195","0","0","walk"
"344","275","-1416","535","21.814939","0","0","walk"
"345","1137","-445","199","30.439029","0","0","from walk to sit"
"346","1136","-424","217","2.745136","0","0","sits down"
"347","1137","-407","206","0","0","0","sits down"
"348","1147","-409","200","1.975761","0","0","sits down"
"349","1155","-449","289","1.823758","0","0","sits down"
"350","1155","-413","227","0.759144","0","0","sits down"
"351","1153","-424","200","0.872314","0","0","sits down"
"352","1145","-424","211","0.845833","0","0","sits down"
"353","1144","-420","216","1.690669","0","0","sits down"
"354","1144","-424","220","0.808798","0","0","sits down"
"355","1148","-416","215","0.455312","0","0","sits down"
"356","1148","-418","211","2.879145","0","0","sits down"
"357","1145","-433","222","0.249851","0","0","sits down"
"358","1150","-425","223","0.263444","0","0","sits down"
"359","1148","-432","231","0.803886","0","0","sits down"
"360","1150","-425","225","0","0","0","sits down"
"361","1151","-416","227","1.470986","0","0","sits down"
"362","1151","-416","224","0","0","0","sits down"
"363","1148","-424","222","1.567409","0","0","sits down"
"364","1151","-432","216","0","0","0","sits down"
"365","1148","-425","220","0","0","0","sits down"
"366","1148","-431","224","0.897432","0","0","sits down"
"367","1151","-429","227","0.284412","0","0","sits down"
"368","1158","-431","230","0","0","0","sits down"
"369","1148","-431","227","0","0","0","sits down"
"370","1144","-445","240","0","0","0","sits down"
"371","1144","-456","239","2.252173","0","0","sits down"
"372","1155","-432","223","0.587927","0","0","sits down"
"373","1148","-425","228","0.810729","0","0","sits down"
"374","1148","-436","227","0","0","0","sits down"
"375","1151","-436","227","0.476298","0","0","sits down"
"376","1151","-439","224","0","0","0","sits down"
"377","1148","-429","230","1.048832","0","0","sits down"
"378","1151","-433","231","0","0","0","sits down"
"379","1150","-433","231","0","0","0","sits down"
"380","1148","-433","231","0.221301","0","0","sits down"
"381","1150","-433","231","0","0","0","sits down"
"382","1148","-433","231","0.496267","0","0","sits down"
"383","1148","-436","231","0.44448","0","0","sits down"
"384","1155","-433","224","0","0","0","sits down"
"385","1150","-436","232","0","0","0","sits down"
"386","1148","-434","230","0","0","0","sits down"
"387","1148","-434","231","0","0","0","sits down"
"388","1144","-433","230","0","0","0","sits down"
"389","1150","-434","231","0","0","0","sits down"
"390","1144","-433","230","0","0","0","sits down"
"391","1151","-440","231","1.73192","0","0","sits down"
"392","1151","-436","227","0.824315","0","0","sits down"
"393","1151","-439","231","0","0","0","sits down"
"394","1151","-436","231","0","0","0","sits down"
"395","1151","-436","236","0.719801","0","0","sits down"
"396","1148","-436","238","0","0","0","sits down"
"397","1148","-434","227","0","0","0","sits down"
"398","1151","-439","232","0.499843","0","0","sits down"
"399","1151","-429","231","0","0","0","sits down"
"400","1151","-424","222","1.85156","0","0","sits down"
"401","1155","-436","224","0","0","0","sits down"
